iter	Logloss
0	0.6706869819
1	0.6471365148
2	0.6277367852
3	0.6126200069
4	0.5916012851
5	0.5783294331
6	0.560246641
7	0.5427956148
8	0.5274930434
9	0.5077216408
10	0.4912638231
11	0.4808568521
12	0.4654902978
13	0.4497477792
14	0.4363392917
15	0.4260214892
16	0.4163130413
17	0.4050797983
18	0.3921741572
19	0.3856958909
20	0.3761983351
21	0.3666133014
22	0.3584766605
23	0.3515332829
24	0.3429721919
25	0.3346349109
26	0.3264767257
27	0.3181269602
28	0.3094568686
29	0.3019741015
30	0.2957347523
31	0.2893560583
32	0.2826512077
33	0.2768202478
34	0.2710370801
35	0.2661157521
36	0.2601153634
37	0.2550320409
38	0.2490757162
39	0.2444010648
40	0.2393667481
41	0.2344322638
42	0.22916369
43	0.2243252668
44	0.2202474854
45	0.2146385583
46	0.2103673111
47	0.205712947
48	0.200830633
49	0.1968001669
50	0.1934960755
51	0.1901232329
52	0.1864447377
53	0.1823413589
54	0.1790250648
55	0.175811941
56	0.1729794849
57	0.1702133959
58	0.1673115167
59	0.16362886
60	0.1603380984
61	0.1573654305
62	0.1543283463
