iter	Passed	Remaining
0	1	979
1	3	865
2	5	843
3	6	833
4	8	840
5	10	844
6	11	833
7	13	821
8	14	811
9	16	814
10	18	834
11	20	828
12	21	823
13	23	818
14	25	812
15	26	807
16	28	803
17	29	800
18	31	796
19	32	791
20	34	787
21	36	787
22	38	791
23	39	786
24	41	781
25	42	777
26	44	773
27	45	769
28	47	765
29	48	763
30	50	757
31	51	752
32	52	748
33	54	744
34	55	741
35	58	748
36	59	744
37	60	740
38	62	737
39	63	734
40	65	731
41	66	729
42	68	728
43	70	725
44	71	723
45	73	721
46	74	718
47	76	719
48	78	720
49	80	721
50	81	719
51	83	715
52	84	715
53	86	718
54	89	723
55	91	722
56	92	721
57	94	719
58	96	717
59	97	715
60	98	712
61	100	712
62	102	711
