iter	Logloss
0	0.6714767207
1	0.6466958675
2	0.6295010242
3	0.6130438122
4	0.5959025632
5	0.5818979545
6	0.5675217141
7	0.5510957815
8	0.5320863637
9	0.5161954956
10	0.5004506653
11	0.4865317383
12	0.4738486355
13	0.4599879807
14	0.4453739546
15	0.4321786783
16	0.4192927675
17	0.4076359651
18	0.3969245965
19	0.3893528787
20	0.3803976644
21	0.3707541141
22	0.3581627093
23	0.3490468204
24	0.3403839431
25	0.3340509019
26	0.3264163337
27	0.3176554853
28	0.3115711299
29	0.3052636179
30	0.2980898424
31	0.2922164213
32	0.2855038383
33	0.2791909267
34	0.2712533899
35	0.2654029938
36	0.2576443794
37	0.2530528965
